defined_class	anatomical_entity
http://purl.obolibrary.org/obo/XPO_0139712	http://purl.obolibrary.org/obo/XAO_0003040
http://purl.obolibrary.org/obo/XPO_0139713	http://purl.obolibrary.org/obo/XAO_0005002
http://purl.obolibrary.org/obo/XPO_0139714	http://purl.obolibrary.org/obo/XAO_0000281
http://purl.obolibrary.org/obo/XPO_0139715	http://purl.obolibrary.org/obo/XAO_0003024
http://purl.obolibrary.org/obo/XPO_0139716	http://purl.obolibrary.org/obo/XAO_0003013
http://purl.obolibrary.org/obo/XPO_0139717	http://purl.obolibrary.org/obo/XAO_0003012
http://purl.obolibrary.org/obo/XPO_0139718	http://purl.obolibrary.org/obo/XAO_0003000
http://purl.obolibrary.org/obo/XPO_0139719	http://purl.obolibrary.org/obo/XAO_0003037
http://purl.obolibrary.org/obo/XPO_0139720	http://purl.obolibrary.org/obo/XAO_0004190
http://purl.obolibrary.org/obo/XPO_0139721	http://purl.obolibrary.org/obo/XAO_0000064
http://purl.obolibrary.org/obo/XPO_0139722	http://purl.obolibrary.org/obo/XAO_0004154
http://purl.obolibrary.org/obo/XPO_0139723	http://purl.obolibrary.org/obo/XAO_0001011
http://purl.obolibrary.org/obo/XPO_0139724	http://purl.obolibrary.org/obo/XAO_0004223
http://purl.obolibrary.org/obo/XPO_0139725	http://purl.obolibrary.org/obo/XAO_0000440
http://purl.obolibrary.org/obo/XPO_0139726	http://purl.obolibrary.org/obo/XAO_0000243
http://purl.obolibrary.org/obo/XPO_0139727	http://purl.obolibrary.org/obo/XAO_0004065
http://purl.obolibrary.org/obo/XPO_0139728	http://purl.obolibrary.org/obo/XAO_0005171
http://purl.obolibrary.org/obo/XPO_0139729	http://purl.obolibrary.org/obo/XAO_0004170
http://purl.obolibrary.org/obo/XPO_0139730	http://purl.obolibrary.org/obo/XAO_0000115
http://purl.obolibrary.org/obo/XPO_0139731	http://purl.obolibrary.org/obo/XAO_0000179
http://purl.obolibrary.org/obo/XPO_0139732	http://purl.obolibrary.org/obo/XAO_0003165
http://purl.obolibrary.org/obo/XPO_0139733	http://purl.obolibrary.org/obo/XAO_0000279
http://purl.obolibrary.org/obo/XPO_0139734	http://purl.obolibrary.org/obo/XAO_0003016
http://purl.obolibrary.org/obo/XPO_0139735	http://purl.obolibrary.org/obo/XAO_0004529
http://purl.obolibrary.org/obo/XPO_0139736	http://purl.obolibrary.org/obo/XAO_0000431
http://purl.obolibrary.org/obo/XPO_0139737	http://purl.obolibrary.org/obo/XAO_0004012
http://purl.obolibrary.org/obo/XPO_0139738	http://purl.obolibrary.org/obo/XAO_0004180
http://purl.obolibrary.org/obo/XPO_0139739	http://purl.obolibrary.org/obo/XAO_0000405
http://purl.obolibrary.org/obo/XPO_0139740	http://purl.obolibrary.org/obo/XAO_0000313
http://purl.obolibrary.org/obo/XPO_0139741	http://purl.obolibrary.org/obo/XAO_0000411
