defined_class	defined_class_name	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0103235		XAO:0004105	pronephric tubule
http://purl.obolibrary.org/obo/XPO_0103236		XAO:0004219	ceratohyal
http://purl.obolibrary.org/obo/XPO_0103237		XAO:0003149	primordial germ cell
http://purl.obolibrary.org/obo/XPO_0103238		XAO:0000307	anterior neural tube
http://purl.obolibrary.org/obo/XPO_0103264		XAO:0005286	astral microtubule
http://purl.obolibrary.org/obo/XPO_0103265		XAO:0005285	spindle microtubule
http://purl.obolibrary.org/obo/XPO_0103266		XAO:0004121	apical ectodermal ridge
http://purl.obolibrary.org/obo/XPO_0103267		XAO:0004265	autopod
http://purl.obolibrary.org/obo/XPO_0103268		XAO:0004231	barbel
http://purl.obolibrary.org/obo/XPO_0103269		XAO:0000208	blastopore
http://purl.obolibrary.org/obo/XPO_0103270		XAO:0000010	brain
http://purl.obolibrary.org/obo/XPO_0103271		XAO:0004013	cartilage element
http://purl.obolibrary.org/obo/XPO_0103272		XAO:0004022	cartilaginous condensation
http://purl.obolibrary.org/obo/XPO_0103273		XAO:0000033	cement gland
http://purl.obolibrary.org/obo/XPO_0103274		XAO:0000215	central nervous system
http://purl.obolibrary.org/obo/XPO_0103275		XAO:0000179	eye
http://purl.obolibrary.org/obo/XPO_0103276		XAO:0003214	femur
http://purl.obolibrary.org/obo/XPO_0103277		XAO:0003030	forelimb
http://purl.obolibrary.org/obo/XPO_0103278		XAO:0003065	forelimb bud
http://purl.obolibrary.org/obo/XPO_0103279		XAO:0004478	forelimb digit 2
http://purl.obolibrary.org/obo/XPO_0103280		XAO:0004479	forelimb digit 3
http://purl.obolibrary.org/obo/XPO_0103281		XAO:0004480	forelimb digit 4
http://purl.obolibrary.org/obo/XPO_0103282		XAO:0004481	forelimb digit 5
http://purl.obolibrary.org/obo/XPO_0103283		XAO:0003061	forelimb skeleton
http://purl.obolibrary.org/obo/XPO_0103284		XAO:0000135	gall bladder
http://purl.obolibrary.org/obo/XPO_0103285		XAO:0004299	hand
http://purl.obolibrary.org/obo/XPO_0103286		XAO:0003024	head
http://purl.obolibrary.org/obo/XPO_0103287		XAO:0003031	hindlimb
http://purl.obolibrary.org/obo/XPO_0103288		XAO:0003066	hindlimb bud
http://purl.obolibrary.org/obo/XPO_0103289		XAO:0003035	hindlimb digit
http://purl.obolibrary.org/obo/XPO_0103290		XAO:0004412	hindlimb digit 2
http://purl.obolibrary.org/obo/XPO_0103291		XAO:0004413	hindlimb digit 3
http://purl.obolibrary.org/obo/XPO_0103292		XAO:0004414	hindlimb digit 4
http://purl.obolibrary.org/obo/XPO_0103293		XAO:0004415	hindlimb digit 5
http://purl.obolibrary.org/obo/XPO_0103294		XAO:0004296	hindlimb stylopod
http://purl.obolibrary.org/obo/XPO_0103295		XAO:0004298	hindlimb zeugopod
http://purl.obolibrary.org/obo/XPO_0103296		XAO:0003228	hypaxial muscle
http://purl.obolibrary.org/obo/XPO_0103297		XAO:0000192	inner ear
http://purl.obolibrary.org/obo/XPO_0103298		XAO:0003266	liver primordium
http://purl.obolibrary.org/obo/XPO_0103299		XAO:0001002	lung primordium
