defined_class	defined_class_name	behavior_process	behavior_process_label
http://purl.obolibrary.org/obo/XPO_0103783		GO:0035187	hatching behavior
http://purl.obolibrary.org/obo/XPO_0103784		GO:0036268	swimming
http://purl.obolibrary.org/obo/XPO_0128000		GO:0007610	behavior
		GO:0036269	swimming behavior
		GO:0071625	vocalization behavior
		GO:0007619	courtship behavior
		GO:0048266	behavioral response to pain
		GO:0042048	olfactory behavior
		GO:0007638	mechanosensory behavior
		GO:0007632	visual behavior
		GO:0007634	optokinetic behavior
		GO:0035176	social behavior
		GO:0007617	mating behavior
		GO:0007631	feeding behavior
		GO:0007626	locomotory behavior
