defined_class	defined_class_name	biological_process	biological_process_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0103623		GO:0031103	axon regeneration	XAO:0000188	optic nerve
http://purl.obolibrary.org/obo/XPO_0103624		GO:0009952	anterior/posterior pattern specification	XAO:0000103	midgut
http://purl.obolibrary.org/obo/XPO_0103625		GO:0000281	mitotic cytokinesis	XAO:0003018	primary spermatogonium
http://purl.obolibrary.org/obo/XPO_0133400		GO:0007368	determination of left/right symmetry	XAO:0000129	intestine
http://purl.obolibrary.org/obo/XPO_0133401		GO:0007368	determination of left/right symmetry	XAO:0000311	lateral plate mesoderm
http://purl.obolibrary.org/obo/XPO_0133402		GO:0007368	determination of left/right symmetry	XAO:0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0141958	absent cilium motility in left-right organizer	GO:0003341	cilium movement	XAO:0005170	left-right organizer
http://purl.obolibrary.org/obo/XPO_0141959	absent cilium motility in floor plate	GO:0003341	cilium movement	XAO:0000306	floor plate
http://purl.obolibrary.org/obo/XPO_0141960	absent cilium motility in brain	GO:0003341	cilium movement	XAO:0000010	brain
http://purl.obolibrary.org/obo/XPO_0141961	absent cilium motility in mucociliary epithelium	GO:0003341	cilium movement	XAO:0004393	mucociliary epithelium
http://purl.obolibrary.org/obo/XPO_0141962	absent cilium motility in pronephric kidney	GO:0003341	cilium movement	XAO:0002000	pronephric kidney
http://purl.obolibrary.org/obo/XPO_0141963	absent cilium motility in pronephric nephrostome	GO:0003341	cilium movement	XAO:0000062	pronephric nephrostome
http://purl.obolibrary.org/obo/XPO_0141964	absent cilium motility in olfactory pit	GO:0003341	cilium movement	XAO:0000275	olfactory pit
http://purl.obolibrary.org/obo/XPO_0141965	absent cilium motility in alimentary system	GO:0003341	cilium movement	XAO:0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0141966	absent cilium motility in stomach	GO:0003341	cilium movement	XAO:0000128	stomach
http://purl.obolibrary.org/obo/XPO_0141967	absent cilium motility in esophagus	GO:0003341	cilium movement	XAO:0000127	esophagus
http://purl.obolibrary.org/obo/XPO_0141968	absent cilium motility in ciliated cell	GO:0003341	cilium movement	XAO:0005017	ciliated cell
http://purl.obolibrary.org/obo/XPO_0141969	absent cilium motility in monociliated cell	GO:0003341	cilium movement	XAO:0005137	monociliated cell
http://purl.obolibrary.org/obo/XPO_0141970	absent cilium motility in multiciliated cell	GO:0003341	cilium movement	XAO:0005139	multiciliated cell
http://purl.obolibrary.org/obo/XPO_0141971	absent cilium motility in ciliated epidermal cell	GO:0003341	cilium movement	XAO:0000031	ciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0141972	absent cilium motility in ciliated non-epidermal cell	GO:0003341	cilium movement	XAO:0004517	ciliated non-epidermal cell
http://purl.obolibrary.org/obo/XPO_0141973	absent cilium motility in monociliated epidermal cell	GO:0003341	cilium movement	XAO:0005178	monociliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0141974	absent cilium motility in multiciliated epidermal cell	GO:0003341	cilium movement	XAO:0005179	multiciliated epidermal cell
