defined_class	defined_class_name	behavior_process	behavior_process_label
http://purl.obolibrary.org/obo/XPO_0116429		GO:0007610	behavior
http://purl.obolibrary.org/obo/XPO_0131398		GO:0036269	swimming behavior
http://purl.obolibrary.org/obo/XPO_0131399		GO:0071625	vocalization behavior
http://purl.obolibrary.org/obo/XPO_0131400		GO:0007619	courtship behavior
http://purl.obolibrary.org/obo/XPO_0131401		GO:0048266	behavioral response to pain
http://purl.obolibrary.org/obo/XPO_0131402		GO:0042048	olfactory behavior
http://purl.obolibrary.org/obo/XPO_0131403		GO:0007638	mechanosensory behavior
http://purl.obolibrary.org/obo/XPO_0131404		GO:0007632	visual behavior
http://purl.obolibrary.org/obo/XPO_0131405		GO:0007634	optokinetic behavior
http://purl.obolibrary.org/obo/XPO_0131406		GO:0035176	social behavior
http://purl.obolibrary.org/obo/XPO_0131407		GO:0007617	mating behavior
http://purl.obolibrary.org/obo/XPO_0131408		GO:0007631	feeding behavior
http://purl.obolibrary.org/obo/XPO_0131409		GO:0007626	locomotory behavior
http://purl.obolibrary.org/obo/XPO_0141263		NBO:0040005	visually guided collision avoidance behavior
http://purl.obolibrary.org/obo/XPO_0141264		NBO:0040002	schooling behavior
http://purl.obolibrary.org/obo/XPO_0141265		NBO:0040003	escape behavior
http://purl.obolibrary.org/obo/XPO_0141266		NBO:0040004	surface breathing
http://purl.obolibrary.org/obo/XPO_0141267		NBO:0000358	resting posture
http://purl.obolibrary.org/obo/XPO_0141317		NBO:0000313	behavior process
