defined_class	defined_class_label	entity	entity_label	location	location_label
		GO:0032502	developmental process	XAO:0000431	tooth
		GO:0032502	developmental process	XAO:0004013	cartilage element
		GO:0032502	developmental process	XAO:0001011	blood vessel
		GO:0032502	developmental process	XAO:0000064	heart
		GO:0032502	developmental process	XAO:0003267	kidney
		GO:0032502	developmental process	XAO:0000133	liver
		GO:0032502	developmental process	XAO:0000163	thymus
		GO:0032502	developmental process	XAO:0000172	muscle
		GO:0032502	developmental process	XAO:0000315	myotome
		GO:0032502	developmental process	XAO:0004570	medial pallium
		GO:0032502	developmental process	XAO:0003098	cerebellum
		GO:0032502	developmental process	XAO:0000010	brain
		GO:0032502	developmental process	XAO:0000012	telencephalon
		GO:0032502	developmental process	XAO:0000119	lung
		GO:0032502	developmental process	XAO:0000179	eye
		GO:0032502	developmental process	XAO:0000008	lens
		GO:0032502	developmental process	XAO:0000113	embryo
		GO:0032502	developmental process	XAO:0003011	primary germ layer
		GO:0032502	developmental process	XAO:0000001	ectoderm
		GO:0032502	developmental process	XAO:0000050	mesoderm
		GO:0032502	developmental process	XAO:0000090	endoderm
		GO:0032502	developmental process	XAO:0000058	somite
		GO:0032502	developmental process	XAO:0004053	skeleton
		GO:0032502	developmental process	XAO:0004180	olfactory bulb
		GO:0032502	developmental process	XAO:0004500	rib
		GO:0032502	developmental process	XAO:0000100	cardiovascular system
		GO:0032502	developmental process	XAO:0000180	cornea
		GO:0032502	developmental process	XAO:0000117	respiratory system
		GO:0032502	developmental process	XAO:0000125	alimentary system
		GO:0032502	developmental process	XAO:0000127	esophagus
		GO:0032502	developmental process	XAO:0000011	forebrain
		GO:0032502	developmental process	XAO:0000114	artery
		GO:0032502	developmental process	XAO:0000115	vein
		GO:0032502	developmental process	XAO:0000166	adrenal medulla
		GO:0032502	developmental process	XAO:0000017	hypophysis
		GO:0032502	developmental process	XAO:0004327	eye muscle
		GO:0032502	developmental process	XAO:0000177	nervous system
		GO:0032502	developmental process	XAO:0000014	midbrain
		GO:0032502	developmental process	XAO:0000136	pancreas
		GO:0032502	developmental process	XAO:0004023	craniofacial skeleton
		GO:0032502	developmental process	XAO:0000023	skin
		GO:0032502	developmental process	XAO:0000143	urinary system
		GO:0032502	developmental process	XAO:0000016	midbrain-hindbrain boundary
		GO:0032502	developmental process	XAO:0004302	pallium
		GO:0032502	developmental process	XAO:0000015	hindbrain
		GO:0032502	developmental process	XAO:0004258	subpallium
		GO:0032502	developmental process	XAO:0005080	dermomyotome
		GO:0032502	developmental process	XAO:0004130	auditory hair cell
		GO:0032502	developmental process	XAO:0004019	vertebra
		GO:0032502	developmental process	XAO:0004139	outflow tract
		GO:0032502	developmental process	XAO:0003027	limb
		GO:0032502	developmental process	XAO:0003032	digit
		GO:0032502	developmental process	XAO:0003026	tail
		GO:0032502	developmental process	XAO:0003044	endomesoderm
		GO:0032502	developmental process	XAO:0000328	spleen
		GO:0032502	developmental process	XAO:0000009	retina
		GO:0032502	developmental process	XAO:0000129	intestine
		GO:0032502	developmental process	XAO:0000341	aortic arch
		GO:0032502	developmental process	XAO:0000096	pharyngeal arch
		GO:0032502	developmental process	XAO:0000192	inner ear
		GO:0032502	developmental process	XAO:0000175	smooth muscle
		GO:0032502	developmental process	XAO:0000159	islets of Langerhans
		GO:0032502	developmental process	XAO:0003024	head
		GO:0032502	developmental process	XAO:0005186	adenohypophysis
		GO:0032502	developmental process	XAO:0005187	neurohypophysis
		GO:0032502	developmental process	XAO:0000430	Rathke's pouch
		GO:0032502	developmental process	XAO:0000160	pineal gland
		GO:0032502	developmental process	XAO:0000029	epidermis outer layer
		GO:0032502	developmental process	XAO:0003158	B cell
		GO:0032502	developmental process	XAO:0003157	T cell
		GO:0030154	cell differentiation	XAO:0005196	neutrophil
		GO:0030154	cell differentiation	XAO:0004404	keratinocyte
		GO:0030154	cell differentiation	XAO:0003012	cell
		GO:0030154	cell differentiation	XAO:0003156	natural killer cell
		GO:0030154	cell differentiation	XAO:0005025	macrophage
		GO:0030154	cell differentiation	XAO:0004507	osteoblast
		GO:0030154	cell differentiation	XAO:0005165	beta cell
		GO:0030154	cell differentiation	XAO:0005164	alpha cell
		GO:0030154	cell differentiation	XAO:0005166	delta cell
		GO:0030154	cell differentiation	XAO:0005168	gamma cell
		GO:0030154	cell differentiation	XAO:0005167	epsilon cell
		GO:0030154	cell differentiation	XAO:0003023	neuron
		GO:0030154	cell differentiation	XAO:0003015	myoblast
		GO:0030154	cell differentiation	XAO:0005134	microglial cell
		GO:0030154	cell differentiation	XAO:0003205	chondrocyte
		GO:0009653	anatomical structure morphogenesis	XAO:0000228	optic vesicle
		GO:0009653	anatomical structure morphogenesis	XAO:0000293	neural fold
		GO:0009653	anatomical structure morphogenesis	XAO:0000392	hepatic portal vein
		GO:0009653	anatomical structure morphogenesis	XAO:0004143	vascular plexus
