defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0103611		XAO:0003036	forelimb digit
http://purl.obolibrary.org/obo/XPO_0103612		XAO:0003208	metacarpus
http://purl.obolibrary.org/obo/XPO_0103613		XAO:0003035	hindlimb digit
http://purl.obolibrary.org/obo/XPO_0103614		XAO:0004239	hindlimb digit 1
http://purl.obolibrary.org/obo/XPO_0103615		XAO:0004412	hindlimb digit 2
http://purl.obolibrary.org/obo/XPO_0103616		XAO:0004413	hindlimb digit 3
http://purl.obolibrary.org/obo/XPO_0103617		XAO:0004414	hindlimb digit 4
http://purl.obolibrary.org/obo/XPO_0103618		XAO:0004415	hindlimb digit 5
http://purl.obolibrary.org/obo/XPO_0103619		XAO:0004478	forelimb digit 2
http://purl.obolibrary.org/obo/XPO_0103620		XAO:0004479	forelimb digit 3
http://purl.obolibrary.org/obo/XPO_0103621		XAO:0004480	forelimb digit 4
http://purl.obolibrary.org/obo/XPO_0103622		XAO:0004481	forelimb digit 5
