defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0103814		XAO:0005015	axon	XAO:0004100	retinal ganglion cell
http://purl.obolibrary.org/obo/XPO_0103816		XAO:0004239	hindlimb digit 1	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103817		XAO:0004412	hindlimb digit 2	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103818		XAO:0004413	hindlimb digit 3	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103819		XAO:0004414	hindlimb digit 4	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103820		XAO:0004415	hindlimb digit 5	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103821		XAO:0004478	forelimb digit 2	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0103822		XAO:0004479	forelimb digit 3	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0103823		XAO:0004480	forelimb digit 4	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0103824		XAO:0004481	forelimb digit 5	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0141512		XAO:0003035	hindlimb digit	XAO:0004059	regenerating tissue
http://purl.obolibrary.org/obo/XPO_0141581		XAO:0003211	tarsus	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0141582		XAO:0003213	tibia-fibula	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0141583		XAO:0003214	femur	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0141584		XAO:0003023	neuron	XAO:0004108	regenerating tail
