defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
http://purl.obolibrary.org/obo/XPO_0115796		XAO:0000033	cement gland
http://purl.obolibrary.org/obo/XPO_0115797		XAO:0004417	claw of hindlimb digit 1
http://purl.obolibrary.org/obo/XPO_0115798		XAO:0004418	claw of hindlimb digit 2
http://purl.obolibrary.org/obo/XPO_0115799		XAO:0004419	claw of hindlimb digit 3
http://purl.obolibrary.org/obo/XPO_0115800		XAO:0004420	claw of hindlimb digit 4
http://purl.obolibrary.org/obo/XPO_0115801		XAO:0004421	claw of hindlimb digit 5
http://purl.obolibrary.org/obo/XPO_0115802		XAO:0003214	femur
http://purl.obolibrary.org/obo/XPO_0115803		XAO:0003030	forelimb
http://purl.obolibrary.org/obo/XPO_0115804		XAO:0003065	forelimb bud
http://purl.obolibrary.org/obo/XPO_0115805		XAO:0004299	hand
http://purl.obolibrary.org/obo/XPO_0115806		XAO:0005274	left hindlimb
http://purl.obolibrary.org/obo/XPO_0115807		XAO:0005275	right hindlimb
http://purl.obolibrary.org/obo/XPO_0115808		XAO:0005272	left forelimb
http://purl.obolibrary.org/obo/XPO_0115809		XAO:0005273	right forelimb
http://purl.obolibrary.org/obo/XPO_0115810		XAO:0004295	forelimb stylopod
http://purl.obolibrary.org/obo/XPO_0115811		XAO:0004297	forelimb zeugopod
http://purl.obolibrary.org/obo/XPO_0115812		XAO:0003024	head
http://purl.obolibrary.org/obo/XPO_0115813		XAO:0000064	heart
http://purl.obolibrary.org/obo/XPO_0115814		XAO:0003031	hindlimb
http://purl.obolibrary.org/obo/XPO_0115815		XAO:0003066	hindlimb bud
http://purl.obolibrary.org/obo/XPO_0115816		XAO:0004300	foot
http://purl.obolibrary.org/obo/XPO_0115817		XAO:0000008	lens
http://purl.obolibrary.org/obo/XPO_0115818		XAO:0003064	pelvic girdle
http://purl.obolibrary.org/obo/XPO_0115819		XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0115820		XAO:0003026	tail
http://purl.obolibrary.org/obo/XPO_0115821		XAO:0003025	trunk
http://purl.obolibrary.org/obo/XPO_0115822		XAO:0000195	utricle
http://purl.obolibrary.org/obo/XPO_0115823		XAO:0005200	anatomical axis
http://purl.obolibrary.org/obo/XPO_0115824		XAO:0005202	anterior-posterior axis
http://purl.obolibrary.org/obo/XPO_0115825		XAO:0005203	dorsal-ventral axis
http://purl.obolibrary.org/obo/XPO_0115826		XAO:0004296	hindlimb stylopod
http://purl.obolibrary.org/obo/XPO_0115827		XAO:0004298	hindlimb zeugopod
http://purl.obolibrary.org/obo/XPO_0115828		XAO:0005256	left eye
http://purl.obolibrary.org/obo/XPO_0115829		XAO:0005257	right eye
http://purl.obolibrary.org/obo/XPO_0115830		XAO:0005265	dorsal trunk
http://purl.obolibrary.org/obo/XPO_0115831		XAO:0005278	left part of brain
http://purl.obolibrary.org/obo/XPO_0115832		XAO:0005279	right part of brain
