defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	anatomical_entity_fused_with	anatomical_entity_fused_with_label
	fused eyes	XAO:0000179	eye	XAO:0000179	eye
	hindlimb fused with trunk	XAO:0003031	hindlimb	XAO:0003025	trunk
	forelimb fused with trunk	XAO:0003030	forelimb	XAO:0003025	trunk
	fused hindlimb digits	XAO:0003035	hindlimb digit	XAO:0003035	hindlimb digit
	fused forelimb digits	XAO:0003036	forelimb digit	XAO:0003036	forelimb digit
	fused somites	XAO:0000058	somite	XAO:0000058	somite
	fused metatarsals	XAO:0003212	metatarsus	XAO:0003212	metatarsus
	fused tarsi	XAO:0003211	tarsus	XAO:0003211	tarsus
	fused carpi	XAO:0003207	carpus	XAO:0003207	carpus
	anterior branchial crest fused with posterior branchial crest	XAO:0004187	anterior branchial crest	XAO:0004188	posterior branchial crest
	tibia-fibula fused with autopod	XAO:0003213	tibia-fibula	XAO:0004265	autopod
	fused optic stalks	XAO:0000475	optic stalk	XAO:0000475	optic stalk
	fused spikes	XAO:0004489	spike	XAO:0004489	spike
	fused metacarpals	XAO:0003208	metacarpus	XAO:0003208	metacarpus
	fused olfactory epithelia	XAO:0005024	olfactory epithelium	XAO:0005024	olfactory epithelium
	eye fused with brain	XAO:0000179	eye	XAO:0000010	brain
	olfactory pit fused with brain	XAO:0000275	olfactory pit	XAO:0000010	brain
	eye fused with olfactory pit	XAO:0000179	eye	XAO:0000275	olfactory pit
	eye fused with olfactory epithelium	XAO:0000179	eye	XAO:0005024	olfactory epithelium
