defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0103396		GO:0031941	filamentous actin	XAO:0000207	blastocoel roof
http://purl.obolibrary.org/obo/XPO_0103397		XAO:0004276	bone element	XAO:0003030	forelimb
http://purl.obolibrary.org/obo/XPO_0103398		GO:0031045	dense core granule	XAO:0004392	goblet cell
http://purl.obolibrary.org/obo/XPO_0103399		XAO:0000472	iridophore	XAO:0003066	hindlimb bud
http://purl.obolibrary.org/obo/XPO_0103400		XAO:0004276	bone element	XAO:0003031	hindlimb
http://purl.obolibrary.org/obo/XPO_0103401		XAO:0004013	cartilage element	XAO:0003031	hindlimb
http://purl.obolibrary.org/obo/XPO_0103402		XAO:0004013	cartilage element	XAO:0003030	forelimb
http://purl.obolibrary.org/obo/XPO_0103403		XAO:0005139	multiciliated cell	XAO:0000041	epidermis inner layer
http://purl.obolibrary.org/obo/XPO_0103404		XAO:0005034	neural progenitor cell	XAO:0003226	optic tectum
http://purl.obolibrary.org/obo/XPO_0103405		XAO:0003023	neuron	XAO:0003226	optic tectum
http://purl.obolibrary.org/obo/XPO_0103406		XAO:0004013	cartilage element	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103407		XAO:0004013	cartilage element	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0103408		XAO:0004417	claw of hindlimb digit 1	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103409		XAO:0004418	claw of hindlimb digit 2	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103410		XAO:0004419	claw of hindlimb digit 3	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103411		XAO:0004420	claw of hindlimb digit 4	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103412		XAO:0004421	claw of hindlimb digit 5	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103413		XAO:0003035	hindlimb digit	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103414		GO:0005773	vacuole	XAO:0003147	spermatozoon
http://purl.obolibrary.org/obo/XPO_0103609		XAO:0003036	forelimb digit	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0131410		XAO:0005008	cilium	XAO:0005170	left-right organizer
http://purl.obolibrary.org/obo/XPO_0131411		XAO:0005008	cilium	XAO:0005034	neural progenitor cell
http://purl.obolibrary.org/obo/XPO_0131412		XAO:0005008	cilium	XAO:0000306	floor plate
http://purl.obolibrary.org/obo/XPO_0131413		XAO:0005008	cilium	XAO:0000010	brain
http://purl.obolibrary.org/obo/XPO_0131414		XAO:0005008	cilium	XAO:0004393	mucociliary epithelium
http://purl.obolibrary.org/obo/XPO_0131415		XAO:0005008	cilium	XAO:0002000	pronephric kidney
http://purl.obolibrary.org/obo/XPO_0131416		XAO:0005008	cilium	XAO:0000062	pronephric nephrostome
http://purl.obolibrary.org/obo/XPO_0131417		XAO:0005008	cilium	XAO:0004518	proximal tubule
http://purl.obolibrary.org/obo/XPO_0131418		XAO:0005008	cilium	XAO:0000275	olfactory pit
http://purl.obolibrary.org/obo/XPO_0131419		XAO:0005008	cilium	XAO:0004130	auditory hair cell
http://purl.obolibrary.org/obo/XPO_0131420		XAO:0005008	cilium	XAO:0004002	lateral line
http://purl.obolibrary.org/obo/XPO_0131421		XAO:0005008	cilium	XAO:0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0131422		XAO:0005008	cilium	XAO:0000128	stomach
http://purl.obolibrary.org/obo/XPO_0131423		XAO:0005008	cilium	XAO:0000127	esophagus
http://purl.obolibrary.org/obo/XPO_0133441		XAO:0005008	cilium	XAO:0005017	ciliated cell
http://purl.obolibrary.org/obo/XPO_0133442		XAO:0005008	cilium	XAO:0005137	monociliated cell
http://purl.obolibrary.org/obo/XPO_0133443		XAO:0005008	cilium	XAO:0005139	multiciliated cell
http://purl.obolibrary.org/obo/XPO_0133444		XAO:0005008	cilium	XAO:0000031	ciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0133445		XAO:0005008	cilium	XAO:0004517	ciliated non-epidermal cell
http://purl.obolibrary.org/obo/XPO_0133446		XAO:0005008	cilium	XAO:0005178	monociliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0133447		XAO:0005008	cilium	XAO:0005179	multiciliated epidermal cell
