defined_class	defined_class_name	biological_process	biological_process_label
http://purl.obolibrary.org/obo/XPO_0141268	increased swimming behavior	GO:0036269	swimming behavior
http://purl.obolibrary.org/obo/XPO_0141269	increased locomotory behavior	GO:0007626	locomotory behavior
http://purl.obolibrary.org/obo/XPO_0141270	increased feeding behavior	GO:0007631	feeding behavior
http://purl.obolibrary.org/obo/XPO_0141271	increased surface breathing	NBO:0040004	surface breathing
	increased cellular response to oxidative stress	GO:0034599	cellular response to oxidative stress
	increased ribosome biogenesis	GO:0042254	ribosome biogenesis
	increased T cell mediated immunity	GO:0002456	T cell mediated immunity
	increased B cell mediated immunity	GO:0019724	B cell mediated immunity
	increased mitochondrial DNA metabolic process	GO:0032042	mitochondrial DNA metabolic process
	increased dendrite arborization	GO:0140059	dendrite arborization
	increased plasminogen activation	GO:0031639	plasminogen activation
	increased cytokine-mediated signaling pathway	GO:0019221	cytokine-mediated signaling pathway
	increased response to corticotropin-releasing hormone	GO:0043435	response to corticotropin-releasing hormone
	increased regulation of Ras protein signal transduction	GO:0046578	regulation of Ras protein signal transduction
	increased signal transduction by p53 class mediator	GO:0072331	signal transduction by p53 class mediator
