defined_class	defined_class_name	biological_process	biological_process_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0103441		GO:0008283	cell proliferation	XAO:0000315	myotome
http://purl.obolibrary.org/obo/XPO_0103442		GO:0060066	oviduct development	XAO:0003005	female organism
http://purl.obolibrary.org/obo/XPO_0141993	increased cilium motility in left-right organizer	GO:0003341	cilium movement	XAO:0005170	left-right organizer
http://purl.obolibrary.org/obo/XPO_0141994	increased cilium motility in floor plate	GO:0003341	cilium movement	XAO:0000306	floor plate
http://purl.obolibrary.org/obo/XPO_0141995	increased cilium motility in brain	GO:0003341	cilium movement	XAO:0000010	brain
http://purl.obolibrary.org/obo/XPO_0141996	increased cilium motility in mucociliary epithelium	GO:0003341	cilium movement	XAO:0004393	mucociliary epithelium
http://purl.obolibrary.org/obo/XPO_0141997	increased cilium motility in pronephric kidney	GO:0003341	cilium movement	XAO:0002000	pronephric kidney
http://purl.obolibrary.org/obo/XPO_0141998	increased cilium motility in pronephric nephrostome	GO:0003341	cilium movement	XAO:0000062	pronephric nephrostome
http://purl.obolibrary.org/obo/XPO_0141999	increased cilium motility in olfactory pit	GO:0003341	cilium movement	XAO:0000275	olfactory pit
http://purl.obolibrary.org/obo/XPO_0142000	increased cilium motility in alimentary system	GO:0003341	cilium movement	XAO:0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0142001	increased cilium motility in stomach	GO:0003341	cilium movement	XAO:0000128	stomach
http://purl.obolibrary.org/obo/XPO_0142002	increased cilium motility in esophagus	GO:0003341	cilium movement	XAO:0000127	esophagus
http://purl.obolibrary.org/obo/XPO_0142003	increased cilium motility in ciliated cell	GO:0003341	cilium movement	XAO:0005017	ciliated cell
http://purl.obolibrary.org/obo/XPO_0142004	increased cilium motility in monociliated cell	GO:0003341	cilium movement	XAO:0005137	monociliated cell
http://purl.obolibrary.org/obo/XPO_0142005	increased cilium motility in multiciliated cell	GO:0003341	cilium movement	XAO:0005139	multiciliated cell
http://purl.obolibrary.org/obo/XPO_0142006	increased cilium motility in ciliated epidermal cell	GO:0003341	cilium movement	XAO:0000031	ciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0142007	increased cilium motility in ciliated non-epidermal cell	GO:0003341	cilium movement	XAO:0004517	ciliated non-epidermal cell
http://purl.obolibrary.org/obo/XPO_0142008	increased cilium motility in monociliated epidermal cell	GO:0003341	cilium movement	XAO:0005178	monociliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0142009	increased cilium motility in multiciliated epidermal cell	GO:0003341	cilium movement	XAO:0005179	multiciliated epidermal cell
