defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0103605		XAO:0000472	iridophore	XAO:0000028	epidermis
http://purl.obolibrary.org/obo/XPO_0103607		XAO:0004489	spike	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103608		XAO:0003012	cell	XAO:0001001	cranial neural crest
http://purl.obolibrary.org/obo/XPO_0130962		XAO:0000050	mesoderm	XAO:0003025	trunk
http://purl.obolibrary.org/obo/XPO_0130963		XAO:0000042	neuroectoderm	XAO:0003024	head
http://purl.obolibrary.org/obo/XPO_0131454		XAO:0005008	cilium	XAO:0005170	left-right organizer
http://purl.obolibrary.org/obo/XPO_0131455		XAO:0005008	cilium	XAO:0005034	neural progenitor cell
http://purl.obolibrary.org/obo/XPO_0131456		XAO:0005008	cilium	XAO:0000306	floor plate
http://purl.obolibrary.org/obo/XPO_0131457		XAO:0005008	cilium	XAO:0000010	brain
http://purl.obolibrary.org/obo/XPO_0131458		XAO:0005008	cilium	XAO:0004393	mucociliary epithelium
http://purl.obolibrary.org/obo/XPO_0131459		XAO:0005008	cilium	XAO:0002000	pronephric kidney
http://purl.obolibrary.org/obo/XPO_0131460		XAO:0005008	cilium	XAO:0000062	pronephric nephrostome
http://purl.obolibrary.org/obo/XPO_0131461		XAO:0005008	cilium	XAO:0004518	proximal tubule
http://purl.obolibrary.org/obo/XPO_0131462		XAO:0005008	cilium	XAO:0000275	olfactory pit
http://purl.obolibrary.org/obo/XPO_0131463		XAO:0005008	cilium	XAO:0004130	auditory hair cell
http://purl.obolibrary.org/obo/XPO_0131464		XAO:0005008	cilium	XAO:0004002	lateral line
http://purl.obolibrary.org/obo/XPO_0131465		XAO:0005008	cilium	XAO:0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0131466		XAO:0005008	cilium	XAO:0000128	stomach
http://purl.obolibrary.org/obo/XPO_0131467		XAO:0005008	cilium	XAO:0000127	esophagus
http://purl.obolibrary.org/obo/XPO_0133482		XAO:0005008	cilium	XAO:0005137	monociliated cell
http://purl.obolibrary.org/obo/XPO_0133483		XAO:0005008	cilium	XAO:0005139	multiciliated cell
http://purl.obolibrary.org/obo/XPO_0133484		XAO:0005008	cilium	XAO:0000031	ciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0133485		XAO:0005008	cilium	XAO:0004517	ciliated non-epidermal cell
http://purl.obolibrary.org/obo/XPO_0133486		XAO:0005008	cilium	XAO:0005178	monociliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0133487		XAO:0005008	cilium	XAO:0005179	multiciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0141318		XAO:0004299	hand	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0141319		XAO:0004300	foot	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0141831		XAO:0005008	cilium	XAO:0000094	gastrocoel roof plate
