defined_class	defined_class_label	entity	entity_label
http://purl.obolibrary.org/obo/XPO_0103656		XAO:0005270	left part of branchial arch skeleton
http://purl.obolibrary.org/obo/XPO_0103657		XAO:0005271	right part of branchial arch skeleton
http://purl.obolibrary.org/obo/XPO_0103658		XAO:0005256	left eye
http://purl.obolibrary.org/obo/XPO_0103659		XAO:0005257	right eye
http://purl.obolibrary.org/obo/XPO_0103660		XAO:0005258	left inner ear
http://purl.obolibrary.org/obo/XPO_0103661		XAO:0005259	right inner ear
http://purl.obolibrary.org/obo/XPO_0103662		XAO:0005252	left olfactory pit
http://purl.obolibrary.org/obo/XPO_0103663		XAO:0005253	right olfactory pit
http://purl.obolibrary.org/obo/XPO_0103664		XAO:0005276	left optic vesicle
http://purl.obolibrary.org/obo/XPO_0103665		XAO:0005277	right optic vesicle
http://purl.obolibrary.org/obo/XPO_0103666		XAO:0005217	posterior region
http://purl.obolibrary.org/obo/XPO_0103667		XAO:0005260	ventral trunk
http://purl.obolibrary.org/obo/XPO_0103668		XAO:0005219	ventral region
http://purl.obolibrary.org/obo/XPO_0103669		XAO:0005278	left part of brain
http://purl.obolibrary.org/obo/XPO_0103670		XAO:0005279	right part of brain
http://purl.obolibrary.org/obo/XPO_0103671		XAO:0005218	dorsal region
